enzyme,alpha_subunits,accession
Xylene monooxygenase,xylM,NP_542887
Toluene dioxygenase,todC1,BAC05504
Toluene 2-monooxygenase,tomA1,AAK07411.1
Toluene 3-monooxygenase,tbuA1,AAB09618.1
Toluene 4-monooxygenase,tmoA,QCT24447.1
Toluene 2-monooxygenase,tbc2A,AAG40794.1
Toluene / benzene 2-monooxygenase,touA,AAT40431.1
Diphenyl ether dioxygenase,dpeA1,ANW37879.1
Phenol 2-monooxygenase,pheA1,ABS30825.1
P-cymene methyl hydroxylase,cymA,AAC45296.1
Ethylbenzene dioxygenase,ebdA1,BAC92718.1
Ethylbenzene dehydrogenase,ebdA,CAI07432
Styrene monooxygenase,styA,ABB03727.1
Naphthalene dioxygenase,nahAc,AAP44288
Naphthalene dioxygenase,narAa,ADM94827.1
"Biphenyl 2,3-dioxygenase",bphA1,ABE37059
Dibenzofuran dioxygenase,dbfA1,ALS21084
PAH dioxygenase,ahdA1c,AGZ63455.1
PAH dioxygenase,ahdA1d,AGZ63462.1
PAH dioxygenase,ahdA1a,BAC65448.1
PAH dioxygenase,ahdA1b,BAC65446.1
PAH dioxygenase,ahdA1f,AGZ63449.1
