UniProt	Cdd	Ko	Pfam
P21394	CDD:238126	K15758	PF00111.28
P0DPQ8	CDD:238126	K23527	PF00111.28
Q7WTJ2	CDD:238126	K16246	PF00111.28
P19734	CDD:238126	K16246	PF00111.28
A0QTU9	CDD:238126	K18225	PF00111.28
E9RFT0	CDD:238126	K18225	PF00111.28
Q768T4	CDD:238126	K18225	PF00111.28
Q0SJK8	CDD:238126	K18225	PF00111.28
Q8GI14	CDD:238126	K15765	PF00111.28
Q52126	CDD:238126	K14581	PF00111.28
P07771	CDD:238126	K05784	PF00111.28
P26395	CDD:238126	K00523	PF00111.28
Q03304	CDD:238126	K15765	PF00111.28
O85675	CDD:238126	K11311	PF00111.28
A7IPX7	CDD:238126	K15765	PF00111.28
Q9X406	CDD:238126	K15765	PF00111.28
O52378	CDD:238126	K14581	PF00111.28
Q51603	CDD:238126	K05784	PF00111.28
P68641	CDD:238126	K00523	PF00111.28
Q66DP5	CDD:238126	K00523	PF00111.28
P22868	CDD:238126	K16161	PF00111.28
Q45692	CDD:238126	K14581	PF00111.28
P23101	CDD:238126	K05784	PF00111.28
Q3C1E0	CDD:238126	K18077	PF00111.28
Q3C1D2	CDD:238126	K18077	PF00111.28
Q4FPV2	CDD:238126	K00351	PF00111.28
A6V3A2	CDD:238126	K00351	PF00111.28
Q9HZL1	CDD:238126	K00351	PF00111.28
Q1Q7Z7	CDD:238126	K00351	PF00111.28
A6VW13	CDD:238126	K00351	PF00111.28
Q02PF8	CDD:238126	K00351	PF00111.28
Q53563	CDD:238126	-	PF00111.28
Q605A0	CDD:238126	K00351	PF00111.28
Q12QK1	CDD:238126	K00351	PF00111.28
Q9LCI7	CDD:238126	K00351	PF00970.25
Q15YQ1	CDD:238126	K00351	PF00111.28
Q5QYQ8	CDD:238126	K00351	PF00111.28
Q9RFV6	CDD:238126	K00351	PF00111.28
Q7MID2	CDD:238126	K00351	PF00111.28
Q8DBJ1	CDD:238126	K00351	PF00111.28
Q9X4Q8	CDD:238126	K00351	PF00111.28
A5F5Y4	CDD:238126	K00351	PF00111.28
Q9LCJ0	CDD:238126	K00351	PF00111.28
Q0I5Y1	CDD:238126	K00351	PF00111.28
A5UFX3	CDD:238126	K00351	PF00111.28
Q75R59	CDD:238126	K00351	PF00111.28
A3MYM7	CDD:238126	K00351	PF00111.28
P24273	-	K20256	PF00175.22
P43126	-	K05368	PF00970.25
P43127	-	K05368	PF00175.22
