UniProt	Cdd	Ko	Pfam
tr_A0A0A8XC21_A0A0A8XC21_9SPHN_Oxygenase_component_of_xylene_monooxygenase_OS=Sphingobium_barthaii_OX=1054037_GN=xylM_PE=3_SV=1	CDD:238511	K15757	PF00487.25
tr_A0A0G2UQ11_A0A0G2UQ11_9BACT_Xylene_monooxygenase_OS=uncultured_bacterium_OX=77133_GN=xylM_PE=3_SV=1	CDD:238511	K00496	PF00487.25
tr_A0A0K0WTB2_A0A0K0WTB2_9PSED_Xylene_monooxygenase__Fragment__OS=Pseudomonas_sp._AET-5-01_OX=1661191_GN=xylM_PE=4_SV=1	CDD:238511	-	PF00487.25
tr_A0A2Z5W3X9_A0A2Z5W3X9_9ALTE_Xylene_monooxygenase_hydroxylase_subunit_OS=Halioxenophilus_aromaticivorans_OX=1306992_GN=xylM_PE=3_SV=1	CDD:238511	K15757	PF00487.25
tr_A2TC53_A2TC53_SPHYA_Oxygenase_component_of_xylene_monooxygenase_OS=Sphingobium_yanoikuyae_OX=13690_GN=xylM_PE=3_SV=1	CDD:238511	K15757	PF00487.25
tr_B7XFU9_B7XFU9_9BACT_Xylene_monooxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=xylM_PE=3_SV=1	CDD:238511	-	PF00487.25
tr_B7XFV0_B7XFV0_9BACT_Xylene_monooxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=xylM_PE=3_SV=1	CDD:238511	-	PF00487.25
tr_B7XFV1_B7XFV1_9BACT_Xylene_monooxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=xylM_PE=3_SV=1	CDD:238511	-	PF00487.25
tr_B7XFV2_B7XFV2_9BACT_Xylene_monooxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=xylM_PE=3_SV=1	CDD:238511	-	PF00487.25
tr_B7XFV3_B7XFV3_9BACT_Xylene_monooxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=xylM_PE=3_SV=1	CDD:238511	-	PF00487.25
tr_B7XFV4_B7XFV4_9BACT_Xylene_monooxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=xylM_PE=3_SV=1	CDD:238511	-	PF00487.25
tr_B7XFV5_B7XFV5_9BACT_Xylene_monooxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=xylM_PE=3_SV=1	CDD:238511	-	PF00487.25
tr_B7XFV6_B7XFV6_9BACT_Xylene_monooxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=xylM_PE=3_SV=1	CDD:238511	-	PF00487.25
tr_B7XFV7_B7XFV7_9BACT_Xylene_monooxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=xylM_PE=3_SV=1	CDD:238511	-	PF00487.25
tr_B7XFV8_B7XFV8_9BACT_Xylene_monooxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=xylM_PE=3_SV=1	CDD:238511	-	PF00487.25
tr_B7XFV9_B7XFV9_9BACT_Xylene_monooxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=xylM_PE=3_SV=1	CDD:238511	-	PF00487.25
tr_B7XFW0_B7XFW0_9BACT_Xylene_monooxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=xylM_PE=3_SV=1	CDD:238511	-	PF00487.25
tr_B7XFW1_B7XFW1_9BACT_Xylene_monooxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=xylM_PE=3_SV=1	CDD:238511	-	PF00487.25
tr_B7XFW2_B7XFW2_9BACT_Xylene_monooxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=xylM_PE=3_SV=1	CDD:238511	-	PF00487.25
tr_B7XFW3_B7XFW3_9BACT_Xylene_monooxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=xylM_PE=3_SV=1	CDD:238511	-	PF00487.25
tr_B7XFW4_B7XFW4_9BACT_Xylene_monooxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=xylM_PE=3_SV=1	CDD:238511	-	PF00487.25
tr_D5MPF5_D5MPF5_PSEPU_Xylene_monooxygenase_hydroxylase_subunit_OS=Pseudomonas_putida_OX=303_GN=xylM_PE=3_SV=1	CDD:238511	K15757	PF00487.25
tr_F1LIV6_F1LIV6_PSEPU_Xylene_monooxygenase_hydroxylase_subunit_OS=Pseudomonas_putida_OX=303_GN=xylM_PE=3_SV=1	CDD:238511	K15757	PF00487.25
tr_I7C0Z3_I7C0Z3_PSEPT_Fatty_acid_desaturase_OS=Pseudomonas_putida__strain_DOT-T1E__OX=1196325_GN=xylM_PE=3_SV=1	CDD:238511	-	PF00487.25
tr_O30865_O30865_PSEPU_Xylene_monooxygenase_hydroxylase_component_OS=Pseudomonas_putida_OX=303_GN=xylM_PE=3_SV=1	CDD:238511	K15757	PF00487.25
tr_O85970_O85970_NOVAR_Xylene_monooxygenase_hydroxylase_subunit_OS=Novosphingobium_aromaticivorans_OX=48935_GN=xylM_PE=3_SV=1	CDD:238511	K15757	PF00487.25
tr_Q4JN58_Q4JN58_9BACT_Predicted_xylene_monooxygenase_hydroxylase_component_OS=uncultured_bacterium_BAC13K9BAC_OX=332979_GN=xylM_PE=3_SV=1	CDD:238511	K00496	PF00487.25
tr_Q7AXU3_Q7AXU3_PSEPU_XylM_protein_OS=Pseudomonas_putida_OX=303_GN=xylM_PE=3_SV=1	CDD:238511	K15757	PF00487.25
