UniProt	Cdd	Ko	Pfam
Q46372	CDD:239550	K08689	PF00355.27
Q52438	CDD:239550	K08689	PF00355.27
Q52028	CDD:239550	K08689	PF00355.27
P37333	CDD:239550	K08689	PF00355.27
Q53122	CDD:239550	K08689	PF00355.27
P0C618	CDD:239550	K03268	PF00355.27
A5W4F2	CDD:239550	K03268	PF00355.27
Q07944	CDD:239550	-	PF00355.27
Q0T1Y1	CDD:239550	K05708	PF00355.27
Q83K39	CDD:239550	K05708	PF00355.27
Q3YZ15	CDD:239550	K05708	PF00355.27
P0ABR5	CDD:239550	K05708	PF00355.27
P0ABR6	CDD:239550	K05708	PF00355.27
A8A344	CDD:239550	K05708	PF00355.27
Q31XV2	CDD:239550	K05708	PF00355.27
Q7N4W0	CDD:239550	K05708	PF00355.27
Q51494	CDD:239550	K14579	PF00355.27
O07824	CDD:239550	K14579	PF00355.27
P0A111	CDD:239550	K14579	PF00355.27
P0A110	CDD:239550	K14579	PF00355.27
O52382	CDD:239550	K14579	PF00355.27
Q45695	CDD:239550	K14579	PF00355.27
Q51974	CDD:239550	K10619	PF00355.27
P07769	CDD:239550	K05549	PF00355.27
Q51601	CDD:239550	K05549	PF00355.27
P23099	CDD:239550	K05549	PF00355.27
