UniProt	Cdd	Ko	Pfam
I3R9M9	CDD:238218	K00370	PF00384.23
P60068	CDD:238218	-	PF00384.23
Q47CW6	CDD:238218	K00370	PF00384.23
Q8GPG4	CDD:238218	K00370	PF00384.23
Q9S1H0	CDD:238218	-	PF00384.23
P9WJQ3	CDD:238218	K00370	PF00384.23
P9WJQ2	CDD:238218	K00370	PF00384.23
P42175	CDD:238218	K00370	PF14710.7
P09152	CDD:238218	K00370	PF14710.7
Q9HR74	CDD:238218	K07306	PF04879.17
P19319	CDD:238218	K00370	PF14710.7
P46448	CDD:238218	K08348	PF04879.17
P77374	CDD:238218	K07309	PF04879.17
P32176	CDD:238218	K08348	PF04879.17
P85097	CDD:238218	K00370	PF00384.23
P45004	CDD:238218	K07306	PF04879.17
P18775	CDD:238218	K07306	PF04879.17
Q71EW5	CDD:238218	K20625	PF00384.23
P77783	CDD:238218	K07310	PF04879.17
P24183	CDD:238218	K08348	PF04879.17
D3RNN8	CDD:238218	K21307	PF04879.17
Q934F5	CDD:238218	-	PF04879.17
Q727P3	CDD:238218	-	PF04879.17
P07658	CDD:238218	K22015	PF04879.17
Q57366	CDD:238218	K07812	PF18364.2
C0SP82	CDD:238218	-	PF04879.17
P37519	CDD:238218	-	PF04879.17
Q0I5G9	CDD:238218	K02567	PF10518.10
P31075	CDD:238218	K08352	PF10518.10
B0URQ3	CDD:238218	K02567	PF10518.10
P06131	CDD:238218	K22516	PF04879.17
P42434	CDD:238218	-	PF04879.17
P9WJQ1	CDD:238218	K00370	PF00384.23
P9WJQ0	CDD:238218	K00370	PF00384.23
P37600	CDD:238218	K08352	PF04879.17
B1Y6A6	CDD:238218	K02567	PF04879.17
P81186	CDD:238218	K02567	PF04879.17
A7ZCK4	CDD:238218	K02567	PF04879.17
Q67QZ1	CDD:238218	K02567	PF04879.17
A7GZP5	CDD:238218	K02567	PF04879.17
A4VJ11	CDD:238218	K02567	PF04879.17
Q3HS05	CDD:238218	K02567	PF04879.17
A1VZC8	CDD:238218	K02567	PF04879.17
A8FLJ3	CDD:238218	K02567	PF04879.17
Q5HV12	CDD:238218	K02567	PF04879.17
Q9PPD9	CDD:238218	K02567	PF04879.17
Q9Z4S6	CDD:238218	K08357	PF04879.17
A7I3Y7	CDD:238218	K02567	PF04879.17
O33732	CDD:238218	K00372	PF04879.17
Q9CKL8	CDD:238218	K02567	PF10518.10
