enzyme	alpha_subunits	accession	sp_query	filtered#	unfiltered#	ncbi_ref	sp_ref	sp_ref#
Xylene_monooxygenase	xylM	NP_542887	analyses/sp_query/Xylene_monooxygenase.filtered	30	51	analyses/blast_outputs/separated_fasta/NP_542887.1_Pseudomonas_putida.fa	analyses/blast_outputs/separated_hits/merged/NP_542887.1_Pseudomonas_putid.fa	8
Toluene_dioxygenase	todC1	BAC05504	analyses/sp_query/Toluene_dioxygenase.filtered	2	15	analyses/blast_outputs/separated_fasta/BAC05504.1_Thauera_sp._DNT-1.fa	analyses/blast_outputs/separated_hits/merged/BAC05504.1_Thauera_sp._DNT-1.fa	26
Toluene_2-monooxygenase(tom)	tomA1	AAK07411.1	analyses/sp_query/Toluene_2-monooxygenase(tom).filtered	3	3	analyses/blast_outputs/separated_fasta/AAK07411.1_Burkholderia_cepacia.fa	analyses/blast_outputs/separated_hits/merged/AAK07411.1_Burkholderia_cepaci.fa	9
Toluene_3-monooxygenase	tbuA1	AAB09618.1	analyses/sp_query/Toluene_3-monooxygenase.filtered	3	3	analyses/blast_outputs/separated_fasta/AAB09618.1_Ralstonia_pickettii.fa	analyses/blast_outputs/separated_hits/merged/AAB09618.1_Ralstonia_pickettii.fa	9
Toluene_4-monooxygenase	tmoA	QCT24447.1	analyses/sp_query/Toluene_4-monooxygenase.filtered	54	91	analyses/blast_outputs/separated_fasta/QCT24447.1_Pseudomonas_oleovorans.fa	analyses/blast_outputs/separated_hits/merged/QCT24447.1_Pseudomonas_oleovorans.fa	9
Toluene_2-monooxygenase(tbc)	tbc2A	AAG40794.1	analyses/sp_query/Toluene_2-monooxygenase(tbc).filtered	1	1	analyses/blast_outputs/separated_fasta/AAG40794.1_Burkholderia_cepacia.fa	analyses/blast_outputs/separated_hits/merged/AAG40794.1_Burkholderia_cepaci.fa	9
Toluene_benzene2-monooxygenase	touA	AAT40431.1	analyses/sp_query/Toluene_benzene2-monooxygenase.filtered	2	2	analyses/blast_outputs/separated_fasta/AAT40431.1_Pseudomonas_sp._OX1.fa	analyses/blast_outputs/separated_hits/merged/AAT40431.1_Pseudomonas_sp._OX1.fa	9
Diphenyl_ether_dioxygenase	dpeA1	ANW37879.1	analyses/sp_query/Diphenyl_ether_dioxygenase.filtered	1	1	analyses/blast_outputs/separated_fasta/ANW37879.1_Sphingobium_phenoxybenzoativorans.fa	analyses/blast_outputs/separated_hits/merged/ANW37879.1_Sphingobium_phenoxybenzoativorans.fa	38
Phenol_2-monooxygenase	pheA1	ABS30825.1	analyses/sp_query/Phenol_2-monooxygenase.filtered	35	54	analyses/blast_outputs/separated_fasta/ABS30825.1_Rhodococcus_erythropolis.fa	analyses/blast_outputs/separated_hits/merged/ABS30825.1_Rhodococcus_erythropolis.fa	12
P-cymene_methyl_hydroxylase	cymA	AAC45296.1	analyses/sp_query/P-cymene_methyl_hydroxylase.filtered	5	5	analyses/blast_outputs/separated_fasta/AAC45296.1_Pseudomonas_chlororaphis_subsp._aureofaciens.fa	analyses/blast_outputs/separated_hits/merged/AAC45296.1_Pseudomonas_chlororaphis_subsp._aureofaciens.fa	50
