UniProt	Cdd	Ko	Pfam
tr_A0A140F329_A0A140F329_9BACT_Naphthalene_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_A0A140F331_A0A140F331_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_A0A1B1FHN2_A0A1B1FHN2_PSEST_Naphthalene_dioxygenase_large_alpha_subunit__Fragment__OS=Pseudomonas_stutzeri_OX=316_GN=nahAc_PE=3_SV=1	CDD:239550	-	PF00355.27
tr_A0A291LTP6_A0A291LTP6_PSESP_PAHs_dioxygenase_large_subunit__Fragment__OS=Pseudomonas_sp_OX=306_GN=nahAc_PE=4_SV=1	CDD:239550	-	-
tr_A7L744_A7L744_PSEFL_Naphthalene_1_2-dioxygenase_iron_sulfur_protein_component_large_subunit__Fragment__OS=Pseudomonas_fluorescens_OX=294_GN=nahAc_PE=3_SV=1	CDD:239550	-	PF00355.27
tr_B0JE86_B0JE86_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JE87_B0JE87_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JE88_B0JE88_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JE92_B0JE92_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JE93_B0JE93_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JE94_B0JE94_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JE99_B0JE99_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JEA1_B0JEA1_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JEA8_B0JEA8_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JEB2_B0JEB2_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JEB8_B0JEB8_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JEB9_B0JEB9_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JEC0_B0JEC0_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JEC2_B0JEC2_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JEC3_B0JEC3_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JEC5_B0JEC5_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JEC7_B0JEC7_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JEC8_B0JEC8_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JEC9_B0JEC9_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JEE5_B0JEE5_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JEE7_B0JEE7_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_B0JEE9_B0JEE9_9BACT_Aromatic_ring-hydroxylating_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=4_SV=1	CDD:239550	-	PF00355.27
tr_C1KE70_C1KE70_9BACT_Naphthalene_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=2_SV=1	CDD:239550	-	PF00355.27
tr_C1KE71_C1KE71_9BACT_Naphthalene_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=2_SV=1	CDD:239550	-	PF00355.27
tr_C1KE72_C1KE72_9BACT_Naphthalene_dioxygenase__Fragment__OS=uncultured_bacterium_OX=77133_GN=nahAc_PE=2_SV=1	CDD:239550	-	PF00355.27
tr_C3VIX2_C3VIX2_PSEPU_Naphthalene_1_2-dioxygenase_large_oxygenase_subunit_OS=Pseudomonas_putida_OX=303_GN=nahAc_PE=3_SV=2	CDD:239550	K14579	PF00355.27
tr_D9IVE3_D9IVE3_PSEST_Naphthalene_dioxygenase_large_alpha_subunit_OS=Pseudomonas_stutzeri_OX=316_GN=nahAc_PE=3_SV=1	CDD:239550	K14579	PF00355.27
tr_D9MWX6_D9MWX6_9ALTE_Naphthalene_1_2-dioxygenase_large_subunit__Fragment__OS=Alteromonas_sp._P127_OX=860771_GN=nahAc_PE=3_SV=1	CDD:239550	-	PF00848.20
