Cdd	UniProt	Ko	Pfam
-	tr_A0A075HKG6_A0A075HKG6_9ARCH_Chorismate_mutase__PheA1__OS=uncultured_marine_thaumarchaeote_KM3_68_B04_OX=1456242_GN=pheA1_PE=4_SV=1	-	PF01817.22
-	tr_A0A076LI57_A0A076LI57_9GAMM_Chorismate_mutase_OS=Edwardsiella_anguillarum_ET080813_OX=667120_GN=pheA1_PE=4_SV=1	K04093	PF01817.22
-	tr_A0A098BP36_A0A098BP36_9NOCA_Chorismate_mutase_OS=Rhodococcus_ruber_OX=1830_GN=pheA1_PE=4_SV=1	-	PF01817.22
-	tr_A0A0D8FTF4_A0A0D8FTF4_9ACTN_Prephenate_dehydratase_OS=Ferrimicrobium_acidiphilum_DSM_19497_OX=1121877_GN=pheA1_PE=4_SV=1	K04518	PF00800.19
-	tr_A0A0D8HMX8_A0A0D8HMX8_9ACTN_Prephenate_dehydratase_OS=Acidithrix_ferrooxidans_OX=1280514_GN=pheA1_PE=4_SV=1	K04518	PF00800.19
-	tr_A0A0H2W1J1_A0A0H2W1J1_YERPE_Bifunctional_chorismate_mutase_prephenate_dehydratase_OS=Yersinia_pestis_OX=632_GN=pheA1_PE=4_SV=1	K14170	PF01817.22
-	tr_A0A0H3JB86_A0A0H3JB86_CLOPA_Prephenate_dehydratase_OS=Clostridium_pasteurianum_DSM_525_=_ATCC_6013_OX=1262449_GN=pheA1_PE=4_SV=1	-	PF00800.19
-	tr_A0A0K1ZQR1_A0A0K1ZQR1_RALSL_Periplasmic_chorismate_mutase_I_OS=Ralstonia_solanacearum_OX=305_GN=pheA1_PE=4_SV=1	-	-
-	tr_A0A1C3YNG7_A0A1C3YNG7_9BACT_Phenol_hydroxylase_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=pheA1_PE=4_SV=1	-	PF11794.9
-	tr_A0A1C3YNG9_A0A1C3YNG9_9BACT_Phenol_hydroxylase_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=pheA1_PE=4_SV=1	-	PF11794.9
-	tr_A0A1C3YNH8_A0A1C3YNH8_9BACT_Phenol_hydroxylase_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=pheA1_PE=4_SV=1	-	PF11794.9
-	tr_A0A1C3YNI0_A0A1C3YNI0_9BACT_Phenol_hydroxylase_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=pheA1_PE=4_SV=1	K00483	PF11794.9
-	tr_A0A1C3YNI2_A0A1C3YNI2_9BACT_Phenol_hydroxylase_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=pheA1_PE=4_SV=1	-	-
-	tr_A0A1C3YNI3_A0A1C3YNI3_9BACT_Phenol_hydroxylase_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=pheA1_PE=4_SV=1	-	PF11794.9
-	tr_A0A1C3YNI4_A0A1C3YNI4_9BACT_Phenol_hydroxylase_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=pheA1_PE=4_SV=1	-	PF11794.9
-	tr_A0A1C3YNI6_A0A1C3YNI6_9BACT_Phenol_hydroxylase_subunit__Fragment__OS=uncultured_bacterium_OX=77133_GN=pheA1_PE=4_SV=1	-	PF11794.9
